%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1574069842991212618,267,1574069842990993243,base_link,-0.102637283504,-0.0330853201449,-0.168965697289,0.0,0.0,0.0
1574069843234298846,268,1574069843233776993,base_link,-0.0584086254239,0.00263489899226,-0.217612192035,0.0,0.0,0.0
1574069843512486363,269,1574069843512199728,base_link,-0.079025991261,0.0111300526187,-0.207369834185,0.0,0.0,0.0
1574069843793586078,270,1574069843793159034,base_link,-0.0745963007212,0.0167543981224,-0.202038913965,0.0,0.0,0.0
1574069844067808285,271,1574069844067507771,base_link,-0.0932767018676,0.00746443355456,-0.217444509268,0.0,0.0,0.0
1574069844315643113,272,1574069844315241792,base_link,-0.0776199251413,0.0179686490446,-0.274269610643,0.0,0.0,0.0
1574069844648965148,273,1574069844648631843,base_link,-0.102779068053,0.0243476647884,-0.307230085135,0.0,0.0,0.0
1574069844848568925,274,1574069844848116241,base_link,-0.130186423659,0.0341401062906,-0.373475432396,0.0,0.0,0.0
1574069845101577466,275,1574069845101340742,base_link,-0.093169927597,0.0614723339677,-0.498633354902,0.0,0.0,0.0
1574069845357661093,276,1574069845357138978,base_link,-0.0412005595863,0.0829584673047,-0.584526777267,0.0,0.0,0.0
1574069845613959831,277,1574069845613611099,base_link,-0.0895577073097,0.0866862609982,-0.630023956299,0.0,0.0,0.0
1574069845928438961,278,1574069845928056262,base_link,-0.0166928526014,0.0937109738588,-0.551856935024,0.0,0.0,0.0
1574069846180360316,279,1574069846180115501,base_link,-0.0234133079648,0.0807706266642,-0.499534457922,0.0,0.0,0.0
1574069846439661646,280,1574069846439260010,base_link,-0.034635335207,0.0693805515766,-0.363888084888,0.0,0.0,0.0
1574069846673217787,281,1574069846672991478,base_link,-0.03896721825,0.0627792179585,-0.301136404276,0.0,0.0,0.0
1574069846914235727,282,1574069846913740630,base_link,-0.0655916556716,0.0665220320225,-0.374672293663,0.0,0.0,0.0
1574069847153649201,283,1574069847153393838,base_link,-0.0758523643017,0.0710975527763,-0.517358243465,0.0,0.0,0.0
