%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.location,field.serial_number
1574069833679580231,222,1574069833679230335,,16.3069992065,-1.94000005722,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069833939915354,223,1574069833939620953,,16.3120002747,-2.18000006676,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069834191592948,224,1574069834191245856,,16.3150005341,-2.00999999046,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069834491486387,225,1574069834491323367,,16.3209991455,-2.04999995232,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069834751638043,226,1574069834751480735,,16.3169994354,-1.96000003815,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069835062655482,227,1574069835062262231,,16.3120002747,-1.99000000954,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069835319348007,228,1574069835319105800,,16.2539997101,-1.90999996662,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069835567072047,229,1574069835566708524,,16.3180007935,-1.75999999046,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069835831206964,230,1574069835831010271,,16.3069992065,-1.98000001907,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069836105154892,231,1574069836104815021,,16.3120002747,-1.96000003815,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069836352838871,232,1574069836352611686,,16.2749996185,-2.07999992371,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069836614505702,233,1574069836614155432,,16.3190002441,-2.11999988556,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069836941871606,234,1574069836941703560,,16.3150005341,-2.05999994278,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069837195123497,235,1574069837194756419,,16.2740001678,-1.88999998569,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069837474273382,236,1574069837474109574,,16.2749996185,-2.04999995232,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069837735288012,237,1574069837734926252,,16.3120002747,-2.02999997139,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069837991350254,238,1574069837991187731,,16.3169994354,-1.91999995708,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069838252062175,239,1574069838251703937,,16.2810001373,-1.95000004768,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069838589019459,240,1574069838588811742,,16.3180007935,-1.97000002861,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069838869285977,241,1574069838869101039,,16.3209991455,-2.13000011444,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069839099544443,242,1574069839099243258,,16.3159999847,-2.05999994278,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069839355314775,243,1574069839355079942,,16.267999649,-1.96000003815,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069839611223227,244,1574069839610821599,,16.3180007935,-2.07999992371,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069839889992338,245,1574069839889722365,,16.3120002747,-2.07999992371,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069840152442340,246,1574069840152084404,,16.3180007935,-2.08999991417,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069840431791597,247,1574069840431638785,,16.2439994812,-2.09999990463,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069840755193233,248,1574069840754869271,,16.3129997253,-1.96000003815,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069841032772107,249,1574069841032557303,,16.297000885,-3.04999995232,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069841312525062,250,1574069841312208160,,16.2199993134,-1.92999994755,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069841591622804,251,1574069841591453568,,16.2870006561,-2.20000004768,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069841958818299,252,1574069841958617980,,16.3090000153,-2.11999988556,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069842261286327,253,1574069842260912030,,16.3150005341,-1.85000002384,nan,nan,nan,0.990000009537,2,0,0,1,id0,
