%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1574069825895227856,203,1574069825895059678,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069826142233676,204,1574069826141848647,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069826470136311,205,1574069826469674163,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069826691285001,206,1574069826691154814,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069826982142681,207,1574069826981769549,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069827225354685,208,1574069827225201105,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069827507313406,209,1574069827506967213,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069827775483950,210,1574069827775311234,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069828064464586,211,1574069828064148071,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069828317698141,212,1574069828317588790,,0,1778,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069828587360954,213,1574069828587011627,,0,1779,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069828821287374,214,1574069828821047672,,0,1779,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069829102019640,215,1574069829101646646,,0,1779,1494,1492,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069829384634279,216,1574069829384473032,,0,1779,1494,1482,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069829628297180,217,1574069829627970120,,0,1779,1495,1470,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069829889725612,218,1574069829889522229,,0,1779,1495,1481,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069830147536069,219,1574069830147148511,,0,1779,1495,1488,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069830429295911,220,1574069830429166872,,0,1779,1495,1489,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069830718930217,221,1574069830718441052,,0,1779,1494,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069830983331694,222,1574069830982946147,,0,1779,1494,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069831230666757,223,1574069831230449531,,0,1779,1494,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069831489397413,224,1574069831489100553,,0,1779,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069831721987262,225,1574069831721613204,,0,1779,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069832043127687,226,1574069832042745629,,0,1779,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069832294241101,227,1574069832294083028,,0,1779,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069832544097332,228,1574069832543721509,,0,1779,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069832804384537,229,1574069832804245087,,0,1779,1494,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
